,originBikeStation,destBikeStation,rawUberTripTime,pickupEstimate,uberTripDistance,uberTripValue,uberTripTime
1,237,101,1140,11,1.63,£6-9,1800
2,465,251,720,5,1.31,£5-7,1020
3,768,573,1020,13,2.25,£7-9,1800
4,571,601,300,7,1.07,£5-6,720
5,95,107,360,4,0.58,£5-6,600
6,270,233,1020,4,2.42,£7-10,1260
7,154,251,1920,8,3.07,£10-13,2400
8,780,44,1860,6,3.82,£10-14,2220
9,428,141,1080,6,2.29,£7-10,1440
10,270,579,1980,4,3.1,£10-14,2220
11,290,184,780,7,1.67,£6-8,1200
12,330,51,2220,4,3.97,£11-16,2460
13,737,378,840,5,1.96,£6-8,1140
14,99,662,1140,4,2.9,£8-11,1380
15,270,632,720,8,2.49,£7-9,1200
16,700,245,720,9,2.46,£6-9,1260
17,22,215,720,7,1.64,£5-8,1140
18,263,431,1740,9,3.17,£10-13,2280
19,101,811,1140,6,3.41,£8-12,1500
20,282,506,540,11,0.92,£5-6,1200
21,395,587,2700,4,4.12,£13-17,2940
22,479,246,1020,7,2.06,£7-9,1440
23,458,452,360,13,0.71,£5-6,1140
24,16,13,1080,2,1.29,£6-8,1200
25,589,163,360,5,0.69,£5-6,660
26,599,696,420,13,0.61,£5-6,1200
27,500,513,240,12,0.41,£5-6,960
28,171,97,240,3,0.62,£5-6,420
29,33,516,900,11,2.66,£7-10,1560
30,27,270,1020,8,2.68,£7-10,1500
31,358,140,1320,10,2.48,£8-11,1920
32,580,292,1560,8,3.85,£10-13,2040
33,488,115,600,12,1.14,£5-6,1320
34,798,433,360,6,0.95,£5-6,720
35,57,134,1680,5,3.39,£10-13,1980
36,503,12,2580,10,5.52,£14-19,3180
37,196,272,360,7,0.71,£5-6,780
38,215,697,900,4,2.15,£6-9,1140
39,632,549,1200,11,3.96,£9-13,1860
40,579,154,900,6,2.65,£7-10,1260
41,318,358,1140,4,1.18,£6-8,1380
42,603,64,1380,3,3.18,£9-12,1560
43,14,457,840,4,1.8,£6-8,1080
44,730,169,1740,8,5.24,£12-16,2220
45,192,223,2220,11,4.02,£11-16,2880
46,83,798,1260,9,2.5,£8-11,1800
47,182,357,840,4,1.57,£6-8,1080
48,229,169,1260,7,2.71,£8-11,1680
49,25,42,1140,5,2.68,£8-10,1440
50,668,305,2520,5,6.25,£15-20,2820
51,483,132,780,12,1.85,£6-8,1500
52,770,606,540,10,1.71,£5-7,1140
53,553,547,1320,5,5.04,£11-15,1620
54,761,691,360,9,1.0,£5-6,900
55,796,131,660,4,0.79,£5-6,900
56,87,237,660,8,0.9,£5-6,1140
57,336,251,1740,7,3.37,£10-13,2160
58,719,535,1920,6,5.64,£13-17,2280
59,54,154,1500,5,2.95,£9-12,1800
60,88,394,1260,11,2.53,£8-11,1920
61,347,243,960,8,2.24,£7-9,1440
62,428,133,540,6,0.9,£5-6,900
63,497,470,180,6,0.73,£5-6,540
64,214,199,1620,5,3.2,£9-13,1920
65,818,549,960,6,1.66,£6-8,1320
66,32,65,1560,4,2.97,£9-12,1800
67,747,774,840,2,2.46,£7-9,960
68,265,373,600,2,1.41,£5-7,720
69,710,71,2460,8,4.98,£13-18,2940
70,3,361,1500,4,3.14,£9-12,1740
71,253,572,1560,7,3.62,£10-13,1980
72,215,239,1560,4,3.2,£9-13,1800
73,184,643,1140,6,3.04,£8-11,1500
74,644,691,420,12,1.52,£5-7,1140
75,640,288,840,11,1.94,£6-8,1500
76,43,410,360,2,0.65,£5-6,480
77,127,535,1680,5,3.66,£10-13,1980
78,280,320,540,4,1.37,£5-7,780
79,700,638,420,9,1.12,£5-6,960
80,360,387,600,3,1.25,£5-7,780
81,765,615,360,17,0.87,£5-6,1380
82,195,52,960,6,1.81,£6-9,1320
83,810,256,1020,8,2.26,£7-9,1500
84,152,817,780,10,2.47,£7-9,1380
85,332,97,420,4,1.06,£5-6,660
86,58,717,480,4,1.22,£5-6,720
87,755,700,300,6,0.72,£5-6,660
88,215,14,960,4,2.34,£7-9,1200
89,42,132,540,4,1.12,£5-6,780
90,550,542,300,9,0.73,£5-6,840
91,443,506,780,10,0.93,£5-7,1380
92,483,115,780,12,1.52,£6-8,1500
93,351,88,1500,3,2.39,£8-11,1680
94,252,583,480,8,0.95,£5-6,960
